TransactionID,Timestamp,UserID,Product,Amount,Quantity,IsDiscounted,Notes,Latitude,Longitude,PaymentType,DetailedDescription
1,2024-01-15T10:30:00Z,user123,Laptop,1200.50,1,TRUE,Urgent delivery,34.0522,-118.2437,Credit Card,"This is a high-performance laptop with 16GB RAM, 512GB SSD, and a 15-inch display. Suitable for professional work and gaming. Delivery must be expedited as per customer request."
2,2024-01-15T10:35:20,user456,Mouse,25.00,2,FALSE,,34.0522,-118.2437,PayPal,"Ergonomic wireless mouse with 5 buttons and adjustable DPI settings. Long battery life. Color: Black. Shipped in standard packaging."
3,2024-01-15T10:35:50Z,user789,Keyboard,75.99,1,TRUE,Gift wrapped,34.0522,-118.2437,Debit Card,"Mechanical keyboard with RGB backlighting and Cherry MX Brown switches. Compact tenkeyless design. Includes a thank you note as it's a gift."
4,2024-01-15T10:40:10,user123,Monitor,300.00,1,FALSE,Check compatibility,34.0522,-118.2437,Credit Card,"27-inch QHD IPS monitor with 144Hz refresh rate. User needs to confirm if their graphics card supports DisplayPort 1.4 for optimal performance."
5,2024-01-15T10:42:00Z,user999,Webcam,invalid_price,1,FALSE,Needs setup,34.0522,-118.2437,Credit Card,"Full HD 1080p webcam with built-in microphone. Plug and play via USB. Customer reported some difficulty with initial software setup on their OS."
6,2024-01-16T11:00:00Z,user456,USB Hub,22.50,3,TRUE,,34.0522,-118.2437,PayPal,"USB 3.0 Hub with 4 ports and individual power switches. Comes with a 1-meter cable. Customer bought three units for different workstations."
7,2024-01-16T11:05:00,user123,External HDD,NaN,1,FALSE,1TB Storage,34.0522,-118.2437,Credit Card,"1TB portable external hard drive, USB 3.0 interface. Formatted as exFAT for compatibility with Mac and Windows. Data recovery service not included."
8,not_a_date,user789,Desk Lamp,15.75,1,TRUE,,34.0522,-118.2437,Debit Card,"Adjustable LED desk lamp with 3 brightness levels. Modern design, silver color. Power adapter included. Lightautoml might struggle with 'not_a_date' in Timestamp field."
9,2024-01-16T11:15:30Z,user999,Laptop Stand,45.00,N/A,FALSE,,34.0522,-118.2437,Gift Card,"Ergonomic aluminum laptop stand, suitable for laptops up to 17 inches. Improves airflow and viewing angle. Quantity 'N/A' needs careful handling by type inference and validation."
10,2024-01-16T11:20:00Z,user123,Software License,99.99,1,TRUE,Email delivery,34.0522,-118.2437,Credit Card,"Digital software license for an accounting package. Key to be delivered via email within 2 hours of purchase. Non-refundable item once activated."
